Model,ECS
BCC-CSM2-MR_irm-2,2.937888151
BCC-CSM2-MR_irm-3,2.895888617
BCC-ESM1_irm-2,2.977388307
BCC-ESM1_irm-3,2.960092501
CAMS-CSM1-0_irm-2,2.320277597
CAMS-CSM1-0_irm-3,2.300253394
CESM2_irm-2,4.133280703
CESM2_irm-3,4.197225002
CESM2-WACCM_irm-2,3.842276078
CESM2-WACCM_irm-3,3.847744927
CNRM-CM6-1_irm-2,4.147234467
CNRM-CM6-1_irm-3,4.057131001
CNRM-ESM2-1_irm-2,4.118312136
CNRM-ESM2-1_irm-3,4.019519941
CanESM5_irm-2,5.134931842
CanESM5_irm-3,5.083602645
E3SM-1-0_irm-2,5.076309705
E3SM-1-0_irm-3,5.10421651
EC-Earth3-Veg_irm-2,4.049214171
EC-Earth3-Veg_irm-3,4.130933044
GFDL-CM4_irm-2,3.628880233
GFDL-CM4_irm-3,3.664996065
GISS-E2-1-G_irm-2,2.782069062
GISS-E2-1-G_irm-3,2.687912197
GISS-E2-1-H_irm-2,3.111347368
GISS-E2-1-H_irm-3,3.074474862
HadGEM3-GC31-LL_irm-2,4.949205581
HadGEM3-GC31-LL_irm-3,5.022489447
IPSL-CM6A-LR_irm-2,3.863602758
IPSL-CM6A-LR_irm-3,3.828138246
MIROC-ES2L_irm-2,2.540436661
MIROC-ES2L_irm-3,2.444527874
MIROC6_irm-2,2.481352268
MIROC6_irm-3,2.440647192
MRI-ESM2-0_irm-2,2.841142091
MRI-ESM2-0_irm-3,2.8024647
NESM3_irm-2,4.407727857
NESM3_irm-3,4.434479064
NorESM2-LM_irm-2,2.201045716
NorESM2-LM_irm-3,2.194624475
SAM0-UNICON_irm-2,3.825574235
SAM0-UNICON_irm-3,3.799744255
UKESM1-0-LL_irm-2,5.318971621
UKESM1-0-LL_irm-3,5.313039644
